name,type,district,commune,manager,phone,gps_status,source
Chi cục Kiểm lâm tỉnh Gia Lai,station,,,Quyền Chi cục trưởng,0982448557,MISSING,duong-day-nong-kiem-lam
Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,station,,,Trưởng phòng Xử lý vi phạm về lâm nghiệp,0913602445,MISSING,duong-day-nong-kiem-lam
Đội Kiểm lâm cơ động và PCCCR số 1,team,,,Đội trưởng,0905364589,MISSING,duong-day-nong-kiem-lam
Đội Kiểm lâm cơ động và PCCCR số 2,team,,,Đội trưởng,0905077715,MISSING,duong-day-nong-kiem-lam
Đội Kiểm lâm cơ động và PCCCR số 3,team,,,Đội trưởng,0905448644,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực An Khê,station,,,Hạt trưởng,0903562889,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực An Lão,station,,,Hạt trưởng,0987692931,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực An Nhơn,station,,,Hạt trưởng,0972133246,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Ayun Pa,station,,,Hạt trưởng,0392749614,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Chư Păh,station,,,Quyền Hạt trưởng,0977370245,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Chư Prông,station,,,Hạt trưởng,0979729357,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Chư Sê,station,,,Hạt trưởng,0979708976,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Đak Đoa,station,,,Hạt trưởng,0976628725,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Đức Cơ,station,,,Hạt trưởng,0905141289,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Hoài Ân,station,,,Hạt trưởng,0987754312,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Hoài Nhơn,station,,,Hạt trưởng,0983417047,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Ia Grai,station,,,Hạt trưởng,0982334139,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Ia Pa,station,,,Hạt trưởng,0985743626,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Kbang,station,,,Hạt trưởng,0913457078,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Kông Chro,station,,,Hạt trưởng,0971223379,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Mang Yang,station,,,Hạt trưởng,0968490779,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Phù Cát,station,,,Hạt trưởng,0983088947,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Phù Mỹ,station,,,Hạt trưởng,0913617735,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Phú Túc,station,,,Hạt trưởng,0914150888,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Tây Sơn,station,,,Hạt trưởng,0919514519,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Tuy Phước - Quy Nhơn,station,,,Hạt trưởng,0935294348,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Vân Canh,station,,,Hạt trưởng,0984180312,MISSING,duong-day-nong-kiem-lam
Hạt Kiểm lâm khu vực Vĩnh Thạnh,station,,,Quyền Hạt trưởng,0988128638,MISSING,duong-day-nong-kiem-lam
