campaign_priority,task_id,target_type,target,required_fields,acceptance,status,verified_by,verification_date,evidence_ref,rejected_reason
P1,GPS-01,station,Chi cục Kiểm lâm tỉnh Gia Lai,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-02,station,Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-03,team,Đội Kiểm lâm cơ động và PCCCR số 1,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-04,team,Đội Kiểm lâm cơ động và PCCCR số 2,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-05,team,Đội Kiểm lâm cơ động và PCCCR số 3,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-06,station,Hạt Kiểm lâm khu vực An Khê,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-07,station,Hạt Kiểm lâm khu vực An Lão,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-08,station,Hạt Kiểm lâm khu vực An Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-09,station,Hạt Kiểm lâm khu vực Ayun Pa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-10,station,Hạt Kiểm lâm khu vực Chư Păh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-11,station,Hạt Kiểm lâm khu vực Chư Prông,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-12,station,Hạt Kiểm lâm khu vực Chư Sê,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-13,station,Hạt Kiểm lâm khu vực Đak Đoa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-14,station,Hạt Kiểm lâm khu vực Đức Cơ,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-15,station,Hạt Kiểm lâm khu vực Hoài Ân,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-16,station,Hạt Kiểm lâm khu vực Hoài Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-17,station,Hạt Kiểm lâm khu vực Ia Grai,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-18,station,Hạt Kiểm lâm khu vực Ia Pa,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-19,station,Hạt Kiểm lâm khu vực Kbang,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-20,station,Hạt Kiểm lâm khu vực Kông Chro,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-21,station,Hạt Kiểm lâm khu vực Mang Yang,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-22,station,Hạt Kiểm lâm khu vực Phù Cát,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-23,station,Hạt Kiểm lâm khu vực Phù Mỹ,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-24,station,Hạt Kiểm lâm khu vực Phú Túc,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-25,station,Hạt Kiểm lâm khu vực Tây Sơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-26,station,Hạt Kiểm lâm khu vực Tuy Phước - Quy Nhơn,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-27,station,Hạt Kiểm lâm khu vực Vân Canh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P1,GPS-28,station,Hạt Kiểm lâm khu vực Vĩnh Thạnh,lat;lon;verification_date;verified_by;photo,"GPS field-measured on site (no estimate, no Google Maps copy)",PENDING,,,,
P2,WTR-01,water,An Khê,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-02,water,Ayun Hạ,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-03,water,Biển Hồ (T'Nưng),contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-04,water,Hồ Bầu Cạn,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-05,water,Hồ Ia Hrung,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-06,water,Hội Sơn,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-07,water,Ia Mơr,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-08,water,Ia Ring (Vòng Ia),contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-09,water,Ialy,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-10,water,Ka Nak,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-11,water,Núi Một,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-12,water,Plei Krông,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-13,water,Thuận Ninh,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-14,water,Vạn Hội,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-15,water,Định Bình,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P2,WTR-16,water,Đồng Mít,contact_phone;verification_date;asset_photo;viewer_check,phone dated + 1 photo; viewer tier recomputed,PENDING,,,,
P3,COM-01,commune,119 Xã Phù Mỹ,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,,,,
P3,COM-02,commune,133 Xã Sơn Lang,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,,,,
P3,COM-03,commune,134 Xã SRó,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,,,,
P3,COM-04,commune,135 Phường Tam Quan,lanh_dao;lanh_dao_phone;tru_so,leader+phone+office filled from commune office,PENDING,,,,
P4,EVAC-00,program,134 communes,evacuation_plan;assembly_points;evacuation_routes;priority_notes,per-commune plan from commune office or MISSING,PENDING,,,,
P5,COR-01,corridor,"Cat Thanh cluster (109.179,14.042 to 109.157,14.206)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,,,,
P5,COR-02,corridor,"Cat Hai to Vung Chua (109.250,13.953 to 109.192,13.740)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,,,,
P5,COR-03,corridor,"Hoi Son TK213 to Ka Nak water (108.997,14.097 to 108.563,14.238)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,,,,
P5,COR-04,corridor,"Chu Puh Ia Ko to Ia Mor water (107.967,13.333 to 107.650,13.250)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,,,,
P5,COR-05,corridor,"Phu Thien to Ayun Ha water (108.125,13.588 to 108.243,13.565)",surface_type;road_condition;seasonal_access;max_vehicle_tons;survey_date;geometry,driven/walked survey + LineString geometry,PENDING,,,,
P6,PHO-S,pilot,28 registry stations (post-GPS),1+ photo each,photo row linked + near-asset,PENDING,,,,
P6,PHO-W,pilot,16 water assets,"1+ photo each (PhotoEvidence, geotagged)",photo row linked + near-asset,PENDING,,,,
P7,PAN-01,pilot,Bien Ho lake,viewer_url;verified_date,Panoee tour URL verified in browser,PENDING,,,,
P7,PAN-02,pilot,1 station (TBD post-GPS),viewer_url;verified_date,same,PENDING,,,,
P7,PAN-03,pilot,1 watchtower (TBD post-GPS),viewer_url;verified_date,same,PENDING,,,,
