name,asset_type,source,gps_status,latitude,longitude,contact_status,photos_1km,viewer_tier,action
Chi cục Kiểm lâm tỉnh Gia Lai,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Đội Kiểm lâm cơ động và PCCCR số 1,team,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Đội Kiểm lâm cơ động và PCCCR số 2,team,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Đội Kiểm lâm cơ động và PCCCR số 3,team,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực An Khê,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực An Lão,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực An Nhơn,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Ayun Pa,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Chư Păh,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Chư Prông,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Chư Sê,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Đak Đoa,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Đức Cơ,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Hoài Ân,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Hoài Nhơn,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Ia Grai,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Ia Pa,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Kbang,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
Hạt Kiểm lâm khu vực Kông Chro,station,registry-csv,MISSING,,,PARTIAL,0,none,FIELD_VERIFICATION_REQUIRED: survey GPS
