asset_id,registry_ref,name,asset_type,contact,lat,lon,verification_date,verified_by,photo,gps_status
MISSING,REG-01,Chi cục Kiểm lâm tỉnh Gia Lai,station,0982448557,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-02,Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,station,0913602445,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-03,Đội Kiểm lâm cơ động và PCCCR số 1,team,0905364589,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-04,Đội Kiểm lâm cơ động và PCCCR số 2,team,0905077715,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-05,Đội Kiểm lâm cơ động và PCCCR số 3,team,0905448644,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-06,Hạt Kiểm lâm khu vực An Khê,station,0903562889,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-07,Hạt Kiểm lâm khu vực An Lão,station,0987692931,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-08,Hạt Kiểm lâm khu vực An Nhơn,station,0972133246,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-09,Hạt Kiểm lâm khu vực Ayun Pa,station,0392749614,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-10,Hạt Kiểm lâm khu vực Chư Păh,station,0977370245,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-11,Hạt Kiểm lâm khu vực Chư Prông,station,0979729357,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-12,Hạt Kiểm lâm khu vực Chư Sê,station,0979708976,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-13,Hạt Kiểm lâm khu vực Đak Đoa,station,0976628725,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-14,Hạt Kiểm lâm khu vực Đức Cơ,station,0905141289,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-15,Hạt Kiểm lâm khu vực Hoài Ân,station,0987754312,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-16,Hạt Kiểm lâm khu vực Hoài Nhơn,station,0983417047,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-17,Hạt Kiểm lâm khu vực Ia Grai,station,0982334139,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-18,Hạt Kiểm lâm khu vực Ia Pa,station,0985743626,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-19,Hạt Kiểm lâm khu vực Kbang,station,0913457078,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-20,Hạt Kiểm lâm khu vực Kông Chro,station,0971223379,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-21,Hạt Kiểm lâm khu vực Mang Yang,station,0968490779,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-22,Hạt Kiểm lâm khu vực Phù Cát,station,0983088947,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-23,Hạt Kiểm lâm khu vực Phù Mỹ,station,0913617735,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-24,Hạt Kiểm lâm khu vực Phú Túc,station,0914150888,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-25,Hạt Kiểm lâm khu vực Tây Sơn,station,0919514519,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-26,Hạt Kiểm lâm khu vực Tuy Phước - Quy Nhơn,station,0935294348,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-27,Hạt Kiểm lâm khu vực Vân Canh,station,0984180312,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
MISSING,REG-28,Hạt Kiểm lâm khu vực Vĩnh Thạnh,station,0988128638,MISSING,MISSING,MISSING,MISSING,MISSING,FIELD_VERIFICATION_REQUIRED
