asset_type,name,photos,status
water,An Khê,0,MISSING
water,Ayun Hạ,0,MISSING
water,Biển Hồ (T'Nưng),0,MISSING
water,Hồ Bầu Cạn,0,MISSING
water,Hồ Ia Hrung,0,MISSING
water,Hội Sơn,0,MISSING
water,Ia Mơr,0,MISSING
water,Ia Ring (Vòng Ia),0,MISSING
water,Ialy,0,MISSING
water,Ka Nak,0,MISSING
water,Núi Một,0,MISSING
water,Plei Krông,0,MISSING
water,Thuận Ninh,0,MISSING
water,Vạn Hội,0,MISSING
water,Định Bình,0,MISSING
water,Đồng Mít,0,MISSING
station,Chi cục Kiểm lâm tỉnh Gia Lai,0,MISSING
station,Chi cục Kiểm lâm tỉnh Gia Lai — Phòng Xử lý vi phạm về lâm nghiệp,0,MISSING
team,Đội Kiểm lâm cơ động và PCCCR số 1,0,MISSING
team,Đội Kiểm lâm cơ động và PCCCR số 2,0,MISSING
team,Đội Kiểm lâm cơ động và PCCCR số 3,0,MISSING
station,Hạt Kiểm lâm khu vực An Khê,0,MISSING
station,Hạt Kiểm lâm khu vực An Lão,0,MISSING
station,Hạt Kiểm lâm khu vực An Nhơn,0,MISSING
station,Hạt Kiểm lâm khu vực Ayun Pa,0,MISSING
station,Hạt Kiểm lâm khu vực Chư Păh,0,MISSING
station,Hạt Kiểm lâm khu vực Chư Prông,0,MISSING
station,Hạt Kiểm lâm khu vực Chư Sê,0,MISSING
station,Hạt Kiểm lâm khu vực Đak Đoa,0,MISSING
station,Hạt Kiểm lâm khu vực Đức Cơ,0,MISSING
station,Hạt Kiểm lâm khu vực Hoài Ân,0,MISSING
station,Hạt Kiểm lâm khu vực Hoài Nhơn,0,MISSING
station,Hạt Kiểm lâm khu vực Ia Grai,0,MISSING
station,Hạt Kiểm lâm khu vực Ia Pa,0,MISSING
station,Hạt Kiểm lâm khu vực Kbang,0,MISSING
station,Hạt Kiểm lâm khu vực Kông Chro,0,MISSING
station,Hạt Kiểm lâm khu vực Mang Yang,0,MISSING
station,Hạt Kiểm lâm khu vực Phù Cát,0,MISSING
station,Hạt Kiểm lâm khu vực Phù Mỹ,0,MISSING
station,Hạt Kiểm lâm khu vực Phú Túc,0,MISSING
station,Hạt Kiểm lâm khu vực Tây Sơn,0,MISSING
station,Hạt Kiểm lâm khu vực Tuy Phước - Quy Nhơn,0,MISSING
station,Hạt Kiểm lâm khu vực Vân Canh,0,MISSING
station,Hạt Kiểm lâm khu vực Vĩnh Thạnh,0,MISSING
corridor,COR-01 Cat Thanh,0,MISSING
corridor,COR-02 Cat Hai-Vung Chua,0,MISSING
corridor,COR-03 Hoi Son-Ka Nak,0,MISSING
corridor,COR-04 Chu Puh-Ia Mor,0,MISSING
corridor,COR-05 Phu Thien-Ayun Ha,0,MISSING
