name,asset_type,contact_phone,verification_date,verified_by,photo_count,viewer_type,status
An Khê,hydro,MISSING,MISSING,MISSING,0,satellite,verified
Ayun Hạ,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Biển Hồ (T'Nưng),lake,MISSING,MISSING,MISSING,0,streetview,verified
Hồ Bầu Cạn,lake,MISSING,MISSING,MISSING,0,satellite,cần xác minh
Hồ Ia Hrung,lake,MISSING,MISSING,MISSING,0,satellite,cần xác minh
Hội Sơn,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Ia Mơr,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Ia Ring (Vòng Ia),irrigation,MISSING,MISSING,MISSING,0,satellite,verified
Ialy,hydro,MISSING,MISSING,MISSING,0,streetview,verified
Ka Nak,hydro,MISSING,MISSING,MISSING,0,satellite,verified
Núi Một,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Plei Krông,hydro,MISSING,MISSING,MISSING,0,streetview,verified
Thuận Ninh,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Vạn Hội,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Định Bình,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
Đồng Mít,reservoir,MISSING,MISSING,MISSING,0,satellite,verified
